,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
0,-472,5,7,105.782,106.3599,,97.83140000000006,-272.7687999999998,-0.0054631222703296345,2016-01-04 09:36:00,2016-01-04 09:38:00,0 days 00:02:00,
1,-234,394,777,108.08,106.12,108.93,100.07499999999999,458.6399999999985,0.01813471502590669,2016-01-05 09:36:00,2016-01-05 16:00:00,0 days 06:24:00,
2,524,783,1167,101.23,103.1,100.84,111.21999999999994,979.8799999999949,0.018472784747604276,2016-01-06 09:36:00,2016-01-06 16:00:00,0 days 06:24:00,
3,-466,1173,1173,96.2708,96.79,,88.82999999999991,-241.94720000000564,-0.005393120239989724,2016-01-07 09:36:00,2016-01-07 09:36:00,0 days 00:00:00,
4,182,1563,1598,96.7699,95.38,,111.30000000000003,-252.96180000000209,-0.014362937235648854,2016-01-08 09:36:00,2016-01-08 10:11:00,0 days 00:35:00,
5,692,1953,1953,93.57,93.15,,102.31999999999995,-290.63999999999135,-0.004488618146841761,2016-01-11 09:36:00,2016-01-11 09:36:00,0 days 00:00:00,
6,263,2343,2414,95.439,94.5,,100.65999999999995,-246.95699999999815,-0.009838745167069951,2016-01-12 09:36:00,2016-01-12 10:47:00,0 days 01:11:00,
7,821,2733,2744,96.48,96.1547,,103.61299999999999,-267.0712999999988,-0.003371683250414592,2016-01-13 09:36:00,2016-01-13 09:47:00,0 days 00:11:00,
8,-357,3123,3176,86.03,86.743,,77.70800000000004,-254.5409999999978,-0.008287806579100332,2016-01-14 09:36:00,2016-01-14 10:29:00,0 days 00:53:00,
9,163,3513,3663,82.88,81.396,,100.62599999999996,-241.89199999999914,-0.017905405405405306,2016-01-15 09:36:00,2016-01-15 12:06:00,0 days 02:30:00,
10,-365,3903,4287,85.36,83.04,86.124,78.32000000000001,846.7999999999975,0.027179006560449803,2016-01-19 09:36:00,2016-01-19 16:00:00,0 days 06:24:00,
11,251,4293,4297,79.77,78.73,,91.80999999999999,-261.03999999999803,-0.013037482762943364,2016-01-20 09:36:00,2016-01-20 09:40:00,0 days 00:04:00,
12,-475,4683,4718,82.6,83.2,,63.37749999999993,-285.00000000000404,-0.007263922518159882,2016-01-21 09:36:00,2016-01-21 10:11:00,0 days 00:35:00,
13,767,5073,5073,87.269,87.0,,92.62,-206.32300000000419,-0.0030824233118289524,2016-01-22 09:36:00,2016-01-22 09:36:00,0 days 00:00:00,
14,349,5852,5856,86.69,85.954,,95.71000000000006,-256.86400000000145,-0.008490021917176183,2016-01-26 09:36:00,2016-01-26 09:40:00,0 days 00:04:00,
15,-752,6632,7016,85.06,84.73,85.4,78.27999999999993,248.15999999999872,0.003879614389842412,2016-01-28 09:36:00,2016-01-28 16:00:00,0 days 06:24:00,
16,868,7022,7398,84.85,89.92900000000002,84.5501,89.92900000000002,4408.572000000019,0.05985857395403671,2016-01-29 09:36:00,2016-01-29 15:52:00,0 days 06:16:00,
17,-486,7412,7415,88.18,88.79,,82.9999999999999,-296.4599999999997,-0.006917668405534094,2016-02-01 09:36:00,2016-02-01 09:39:00,0 days 00:03:00,
18,-715,7802,8186,89.08,85.1,89.532,82.71500000000005,2845.700000000003,0.04467894027840147,2016-02-02 09:36:00,2016-02-02 16:00:00,0 days 06:24:00,
19,-600,8192,8245,85.97,80.75000000000004,86.47,80.75000000000004,3131.9999999999736,0.06071885541467903,2016-02-03 09:36:00,2016-02-03 10:29:00,0 days 00:53:00,
20,-352,8582,8621,82.63,83.58,,73.8806,-334.400000000001,-0.011497034975190612,2016-02-04 09:36:00,2016-02-04 10:15:00,0 days 00:39:00,
21,-280,8972,9356,81.52,74.42,82.781,70.25999999999999,1987.9999999999984,0.08709519136408239,2016-02-05 09:36:00,2016-02-05 16:00:00,0 days 06:24:00,
22,-705,9362,9369,70.3,70.8599,,64.25110000000004,-394.72949999999923,-0.00796443812233294,2016-02-08 09:36:00,2016-02-08 09:43:00,0 days 00:07:00,
23,588,9752,10135,68.8207,70.7,68.22,75.02490000000004,1105.0284000000004,0.027307191005031983,2016-02-09 09:36:00,2016-02-09 16:00:00,0 days 06:24:00,
24,-380,10141,10155,72.52,73.55,,65.48700000000007,-391.40000000000043,-0.014202978488692786,2016-02-10 09:36:00,2016-02-10 09:50:00,0 days 00:14:00,
25,398,10531,10629,69.5,68.64,,80.75000000000004,-342.27999999999975,-0.012374100719424463,2016-02-11 09:36:00,2016-02-11 11:14:00,0 days 01:38:00,
26,-574,10921,11031,73.34,73.935,,62.45999999999992,-341.52999999999935,-0.008112898827379311,2016-02-12 09:36:00,2016-02-12 11:26:00,0 days 01:50:00,
27,-1222,11311,11311,77.771,78.09,,73.09920000000001,-389.81800000000317,-0.004101786012781217,2016-02-16 09:36:00,2016-02-16 09:36:00,0 days 00:00:00,
28,878,11700,11706,81.6,81.16,,87.62000000000009,-386.319999999998,-0.005392156862745079,2016-02-17 09:36:00,2016-02-17 09:42:00,0 days 00:06:00,
29,-361,12090,12473,84.7057,81.83,85.73,74.87099999999994,1038.1276999999982,0.03394930919642947,2016-02-18 09:36:00,2016-02-18 16:00:00,0 days 06:24:00,
30,476,12479,12483,81.6094,80.91,,87.75999999999999,-332.91439999999864,-0.008570091190475582,2016-02-19 09:36:00,2016-02-19 09:40:00,0 days 00:04:00,
31,1121,13258,13288,85.3776,85.0,,89.91599999999994,-423.2896000000012,-0.0044227057214070165,2016-02-23 09:36:00,2016-02-23 10:06:00,0 days 00:30:00,
32,-522,13648,13773,79.03,79.8,,71.32999999999998,-401.9399999999979,-0.009743135518157642,2016-02-24 09:36:00,2016-02-24 11:41:00,0 days 02:05:00,
33,1030,14038,14039,85.6,85.2844,,88.976,-325.0679999999889,-0.003686915887850306,2016-02-25 09:36:00,2016-02-25 09:37:00,0 days 00:01:00,
34,950,14818,15103,86.7967,86.43,,92.58999999999999,-348.3649999999948,-0.004224814998726845,2016-02-29 09:36:00,2016-02-29 14:21:00,0 days 04:45:00,
35,-284,16377,16468,91.67,92.86,,83.58000000000003,-337.95999999999935,-0.012981346132867833,2016-03-04 09:36:00,2016-03-04 11:07:00,0 days 01:31:00,
36,-615,17156,17164,88.3746,88.92,,82.57580000000002,-335.4210000000005,-0.006171456504470818,2016-03-08 09:36:00,2016-03-08 09:44:00,0 days 00:08:00,
37,-701,17545,17601,89.16,89.61,,85.5373,-315.450000000002,-0.005047106325706707,2016-03-09 09:36:00,2016-03-09 10:32:00,0 days 00:56:00,
38,304,17935,17994,91.57,90.6101,,103.48900000000003,-291.8095999999971,-0.010482690837610442,2016-03-10 09:36:00,2016-03-10 10:35:00,0 days 00:59:00,
39,-663,18325,18342,92.5299,92.98,,83.38999999999989,-298.41630000000407,-0.004864373570056868,2016-03-11 09:36:00,2016-03-11 09:53:00,0 days 00:17:00,
40,1013,18714,19095,93.68,95.27,93.31,97.92799999999993,1610.6699999999892,0.01697267292912019,2016-03-14 09:36:00,2016-03-14 16:00:00,0 days 06:24:00,
41,-719,19101,19156,93.85,94.3399,,89.071,-352.2381000000041,-0.005220031965903038,2016-03-15 09:36:00,2016-03-15 10:31:00,0 days 00:55:00,
42,983,19491,19871,94.38,97.12,94.02,99.36,2693.420000000009,0.029031574486120038,2016-03-16 09:36:00,2016-03-16 16:00:00,0 days 06:24:00,
43,526,19877,19883,96.95,96.2445,,101.48500000000001,-371.09300000000036,-0.0072769468798349335,2016-03-17 09:36:00,2016-03-17 09:42:00,0 days 00:06:00,
44,-714,20266,20360,97.64,98.17,,91.57100000000004,-378.4200000000008,-0.005428103236378545,2016-03-18 09:36:00,2016-03-18 11:10:00,0 days 01:34:00,
45,721,20655,20710,97.59,97.08,,103.36989999999999,-367.7100000000037,-0.005225945281278843,2016-03-21 09:36:00,2016-03-21 10:31:00,0 days 00:55:00,
