,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
46,-750,19101,19156,93.85,94.3399,,89.071,-367.42500000000433,-0.005220031965903038,2016-03-15 09:36:00,2016-03-15 10:31:00,0 days 00:55:00,
47,1027,19491,19871,94.38,97.12,94.02,99.36,2813.9800000000096,0.029031574486120038,2016-03-16 09:36:00,2016-03-16 16:00:00,0 days 06:24:00,
48,550,19877,19883,96.95,96.2445,,101.48500000000001,-388.0250000000004,-0.0072769468798349335,2016-03-17 09:36:00,2016-03-17 09:42:00,0 days 00:06:00,
49,-746,20266,20360,97.64,98.17,,91.57100000000004,-395.38000000000085,-0.005428103236378545,2016-03-18 09:36:00,2016-03-18 11:10:00,0 days 01:34:00,
50,754,20655,20710,97.59,97.08,,103.36989999999999,-384.54000000000383,-0.005225945281278843,2016-03-21 09:36:00,2016-03-21 10:31:00,0 days 00:55:00,
51,914,21044,21427,97.48,99.38,97.03,102.23000000000005,1736.5999999999922,0.019491177677472216,2016-03-22 09:36:00,2016-03-22 16:00:00,0 days 06:24:00,
52,-1531,21821,21822,95.671,95.88,,89.83000000000001,-319.9789999999831,-0.0021845700368972043,2016-03-24 09:36:00,2016-03-24 09:37:00,0 days 00:01:00,
53,-550,22209,22590,97.46,96.63,98.2,89.10999999999997,456.4999999999991,0.008516314385388912,2016-03-28 09:36:00,2016-03-28 16:00:00,0 days 06:24:00,
54,1199,23373,23374,103.03,102.6796,,107.40400000000011,-420.1296000000091,-0.003400951179268197,2016-03-31 09:36:00,2016-03-31 09:37:00,0 days 00:01:00,
55,-1358,23755,23757,100.68,100.9199,,96.64099999999998,-325.7841999999886,-0.0023827969805323423,2016-04-01 09:36:00,2016-04-01 09:38:00,0 days 00:02:00,
56,617,24916,25299,102.49,106.59,101.9,107.81000000000002,2529.7000000000053,0.040003902819787385,2016-04-06 09:36:00,2016-04-06 16:00:00,0 days 06:24:00,
57,935,25305,25317,104.87,104.45,,110.07999999999996,-392.7000000000016,-0.0040049585200724325,2016-04-07 09:36:00,2016-04-07 09:48:00,0 days 00:12:00,
58,-1047,25694,25717,103.52,103.94,,98.36100000000008,-439.74000000000177,-0.00405718701700164,2016-04-08 09:36:00,2016-04-08 09:59:00,0 days 00:23:00,
59,-525,26084,26103,102.8,103.55,,94.50000000000001,-393.75,-0.007295719844357951,2016-04-11 09:36:00,2016-04-11 09:55:00,0 days 00:19:00,
60,-414,26473,26489,100.19,101.14,,92.29999999999994,-393.3000000000012,-0.009481984229963158,2016-04-12 09:36:00,2016-04-12 09:52:00,0 days 00:16:00,
61,-1043,26863,26863,105.17,105.56,,100.58999999999992,-406.7700000000006,-0.003708281829418958,2016-04-13 09:36:00,2016-04-13 09:36:00,0 days 00:00:00,
62,-1364,27249,27306,107.06,107.2899,,103.71099999999991,-313.5836000000009,-0.002147393984681445,2016-04-14 09:36:00,2016-04-14 10:33:00,0 days 00:57:00,
63,1262,28009,28383,105.4101,107.9,105.16,109.46000000000005,3142.2538000000072,0.02362107615873632,2016-04-18 09:36:00,2016-04-18 16:00:00,0 days 06:24:00,
64,-295,28389,28771,107.62,105.66,109.0,95.57000000000006,578.2000000000023,0.01821222821036994,2016-04-19 09:36:00,2016-04-19 16:00:00,0 days 06:24:00,
65,-717,28777,28794,105.5,106.2,,98.31999999999996,-501.900000000002,-0.006635071090047351,2016-04-20 09:36:00,2016-04-20 09:53:00,0 days 00:17:00,
66,313,29544,29581,103.14,101.79,,112.77999999999989,-422.54999999999825,-0.01308900523560208,2016-04-22 09:36:00,2016-04-22 10:13:00,0 days 00:37:00,
67,675,29933,29977,100.99,100.31,,105.13200000000002,-458.999999999995,-0.006733339934646976,2016-04-25 09:36:00,2016-04-25 10:20:00,0 days 00:44:00,
68,-670,30311,30321,101.44,101.99,,95.92510000000006,-368.49999999999807,-0.005421924290220703,2016-04-26 09:36:00,2016-04-26 09:46:00,0 days 00:10:00,
69,408,30692,30709,97.734,96.76,,106.82519999999992,-397.39199999999573,-0.00996582560828363,2016-04-27 09:36:00,2016-04-27 09:53:00,0 days 00:17:00,
70,-857,31081,31083,97.51,98.0,,92.34000000000005,-419.92999999999563,-0.005025125628140614,2016-04-28 09:36:00,2016-04-28 09:38:00,0 days 00:02:00,
71,672,31471,31481,94.08,93.49,,102.21400000000006,-396.4800000000023,-0.006271258503401378,2016-04-29 09:36:00,2016-04-29 09:46:00,0 days 00:10:00,
72,-543,31861,31868,92.44,93.21,,83.14990000000012,-418.10999999999785,-0.008329727390739894,2016-05-02 09:36:00,2016-05-02 09:43:00,0 days 00:07:00,
73,636,32245,32257,93.53,92.9,,99.99999999999991,-400.6799999999971,-0.0067358066930396365,2016-05-03 09:36:00,2016-05-03 09:48:00,0 days 00:12:00,
74,956,32634,32636,91.23,90.75,,96.873,-458.8800000000038,-0.005261427162117749,2016-05-04 09:36:00,2016-05-04 09:38:00,0 days 00:02:00,
75,-1131,33021,33058,91.451,91.82,,87.27400000000002,-417.3389999999997,-0.0040349476768979375,2016-05-05 09:36:00,2016-05-05 10:13:00,0 days 00:37:00,
76,820,33405,33472,89.7,89.2,,96.44999999999993,-410.0,-0.005574136008918651,2016-05-06 09:36:00,2016-05-06 10:43:00,0 days 01:07:00,
77,556,33794,34164,92.5725,92.63,91.92,98.27559999999993,31.969999999994627,0.0006211347862485894,2016-05-09 09:36:00,2016-05-09 16:00:00,0 days 06:24:00,
78,961,34937,34939,94.8,94.44,,99.72000000000008,-345.95999999999947,-0.0037974683544304,2016-05-12 09:36:00,2016-05-12 09:38:00,0 days 00:02:00,
79,696,35323,35391,92.91,92.41,,101.33000000000004,-348.0,-0.005381552039608217,2016-05-13 09:36:00,2016-05-13 10:44:00,0 days 01:08:00,
80,814,35707,36083,92.35,95.27,91.85,97.09000000000005,2376.8800000000015,0.03161884136437476,2016-05-16 09:36:00,2016-05-16 16:00:00,0 days 06:24:00,
81,621,36089,36091,95.5,94.8452,,103.70799999999996,-406.6307999999966,-0.006856544502617745,2016-05-17 09:36:00,2016-05-17 09:38:00,0 days 00:02:00,
82,1162,36473,36765,91.18,90.95,,96.47519999999996,-267.26000000000465,-0.002522483000658049,2016-05-18 09:36:00,2016-05-18 14:30:00,0 days 04:54:00,
83,767,36861,36877,91.4599,91.1608,,98.44200000000009,-229.4097000000076,-0.003270285666177264,2016-05-19 09:36:00,2016-05-19 09:52:00,0 days 00:16:00,
84,717,37248,37627,92.529,94.11,91.99,98.51000000000009,1133.5770000000023,0.01708653503226021,2016-05-20 09:36:00,2016-05-20 16:00:00,0 days 06:24:00,
85,599,37633,37956,94.67,94.06,,100.40099999999993,-365.38999999999965,-0.006443435090313754,2016-05-23 09:36:00,2016-05-23 15:12:00,0 days 05:36:00,
86,793,38010,38349,95.63,99.54,95.16,99.54,3100.6300000000087,0.040886751019554746,2016-05-24 09:36:00,2016-05-24 15:24:00,0 days 05:48:00,
87,-1489,38391,38406,100.44,100.7364,,96.19599999999998,-441.33960000000826,-0.0029510155316607722,2016-05-25 09:36:00,2016-05-25 09:51:00,0 days 00:15:00,
88,1101,38780,38782,101.8668,101.49,,108.76000000000012,-414.8568000000032,-0.003698948038026173,2016-05-26 09:36:00,2016-05-26 09:38:00,0 days 00:02:00,
89,1550,39149,39515,102.8,103.79,102.5,105.36000000000006,1534.500000000014,0.009630350194552717,2016-05-27 09:36:00,2016-05-27 16:00:00,0 days 06:24:00,
90,-1098,40661,41037,104.36,103.62,104.721,99.13,812.5199999999944,0.007090839402069671,2016-06-03 09:36:00,2016-06-03 16:00:00,0 days 06:24:00,
91,-1376,42172,42174,103.2699,103.51,,99.69999999999992,-330.3775999999975,-0.002324975622131964,2016-06-09 09:36:00,2016-06-09 09:38:00,0 days 00:02:00,
92,1323,42556,42558,101.3701,101.0801,,105.899,-383.6699999999895,-0.002860804122714611,2016-06-10 09:36:00,2016-06-10 09:38:00,0 days 00:02:00,
93,723,42941,42946,99.3199,98.75,,105.92999999999996,-412.0377000000029,-0.005738024303286737,2016-06-13 09:36:00,2016-06-13 09:41:00,0 days 00:05:00,
94,384,43325,43375,98.23,97.18,,108.26,-403.1999999999989,-0.010689198819098022,2016-06-14 09:36:00,2016-06-14 10:26:00,0 days 00:50:00,
